symbol,name,sector,industry
UGP,Ultrapar Participacoes SA,CYCLICALS,RETAILOTHER
UHAL,Amerco,CYCLICALS,AUTORETAIL
URBN,Urban Outfitters Inc,CYCLICALS,APPARELRETAIL
VC,Visteon Corp.,CYCLICALS,VEHICLE
VFC,V.F. Corp,CYCLICALS,APPARELPRODUCTS
VRA,Vera Bradley Inc,CYCLICALS,APPARELPRODUCTS
WEYS,Weyco Group Inc,CYCLICALS,APPARELPRODUCTS
WGO,Winnebago Industries Inc.,CYCLICALS,VEHICLE
WHR,Whirlpool Corp,CYCLICALS,APPLIANCESFURN
WINA,Winmark Corp,CYCLICALS,APPARELRETAIL
WPRT,Westport Fuel Systems Inc,CYCLICALS,VEHICLE
WSM,Williams-Sonoma Inc.,CYCLICALS,HOMEIMPROVE
WWW,Wolverine World Wide Inc.,CYCLICALS,APPARELPRODUCTS
XELB,Xcel Brands Inc,CYCLICALS,APPARELPRODUCTS
ZUMZ,Zumiez Inc,CYCLICALS,APPARELRETAIL
AE,Adams Resources & Energy Inc.,ENERGY,DOWNSTREAMENERGY
APA,APA Corporation,ENERGY,FOSSILFUEL
ARLP,Alliance Resource Partners LP,ENERGY,COAL
AXAS,Abraxas Petroleum Corp.,ENERGY,FOSSILFUEL
BOOM,DMC Global Inc,ENERGY,OILGASSUPPORT
BP,BP PLC,ENERGY,OILGASINTEG
BTU,Peabody Energy Corp,ENERGY,COAL
CCJ,Cameco Corp,ENERGY,COAL
CEI,Camber Energy Inc,ENERGY,FOSSILFUEL
CEQP,Crestwood Equity Partners LP,ENERGY,MIDSTREAMENERGY
CLB,Core Laboratories NV,ENERGY,OILGASSUPPORT
CLMT,Calumet Specialty Products Partners LP,ENERGY,DOWNSTREAMENERGY
